timestamp,label,exclusion_set,metric_path,source_path,destination_path,status
20260704_222452,no_post_sa_mlp_third_layers,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260704_222452_1403982parameters_4_8_0_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260704_222452_1403982parameters_4_8_0_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_mlp_third_layers/groups_CRAL-TRIO/train20260704_222452_1403982parameters_4_8_0_0.0001_16_64,exists
20260704_222552,no_post_sa_mlp_third_layers,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260704_222552_1403982parameters_4_8_1_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260704_222552_1403982parameters_4_8_1_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_mlp_third_layers/groups_CRAL-TRIO/train20260704_222552_1403982parameters_4_8_1_0.0001_16_64,exists
20260704_222637,no_post_sa_mlp_third_layers,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260704_222637_1403982parameters_4_8_2_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260704_222637_1403982parameters_4_8_2_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_mlp_third_layers/groups_CRAL-TRIO/train20260704_222637_1403982parameters_4_8_2_0.0001_16_64,exists
20260704_224529,no_post_sa_mlp_third_layers,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260704_224529_1403982parameters_4_8_3_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260704_224529_1403982parameters_4_8_3_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_mlp_third_layers/groups_CRAL-TRIO/train20260704_224529_1403982parameters_4_8_3_0.0001_16_64,exists
20260704_225235,no_post_sa_mlp_third_layers,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260704_225235_1403982parameters_4_8_4_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260704_225235_1403982parameters_4_8_4_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_mlp_third_layers/groups_CRAL-TRIO/train20260704_225235_1403982parameters_4_8_4_0.0001_16_64,exists
20260705_232856,no_post_sa_3rd_layer_mlp_hiddim80,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260705_232856_2160734parameters_4_8_0_0.0001_16_80.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260705_232856_2160734parameters_4_8_0_0.0001_16_80,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3rd_layer_mlp_hiddim80/groups_CRAL-TRIO/train20260705_232856_2160734parameters_4_8_0_0.0001_16_80,exists
20260705_232859,no_post_sa_3rd_layer_mlp_hiddim80,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260705_232859_2160734parameters_4_8_1_0.0001_16_80.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260705_232859_2160734parameters_4_8_1_0.0001_16_80,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3rd_layer_mlp_hiddim80/groups_CRAL-TRIO/train20260705_232859_2160734parameters_4_8_1_0.0001_16_80,exists
20260705_232900,no_post_sa_3rd_layer_mlp_hiddim80,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260705_232900_2160734parameters_4_8_2_0.0001_16_80.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260705_232900_2160734parameters_4_8_2_0.0001_16_80,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3rd_layer_mlp_hiddim80/groups_CRAL-TRIO/train20260705_232900_2160734parameters_4_8_2_0.0001_16_80,exists
20260705_232900,no_post_sa_3rd_layer_mlp_hiddim80,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260705_232900_2160734parameters_4_8_3_0.0001_16_80.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260705_232900_2160734parameters_4_8_3_0.0001_16_80,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3rd_layer_mlp_hiddim80/groups_CRAL-TRIO/train20260705_232900_2160734parameters_4_8_3_0.0001_16_80,exists
20260705_232906,no_post_sa_3rd_layer_mlp_hiddim80,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260705_232906_2160734parameters_4_8_4_0.0001_16_80.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260705_232906_2160734parameters_4_8_4_0.0001_16_80,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3rd_layer_mlp_hiddim80/groups_CRAL-TRIO/train20260705_232906_2160734parameters_4_8_4_0.0001_16_80,exists
20260706_024511,no_post_sa_3mlp_gelu,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260706_024511_1403982parameters_4_8_0_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260706_024511_1403982parameters_4_8_0_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3mlp_gelu/groups_CRAL-TRIO/train20260706_024511_1403982parameters_4_8_0_0.0001_16_64,exists
20260706_024536,no_post_sa_3mlp_gelu,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260706_024536_1403982parameters_4_8_1_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260706_024536_1403982parameters_4_8_1_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3mlp_gelu/groups_CRAL-TRIO/train20260706_024536_1403982parameters_4_8_1_0.0001_16_64,exists
20260706_024741,no_post_sa_3mlp_gelu,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260706_024741_1403982parameters_4_8_2_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260706_024741_1403982parameters_4_8_2_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3mlp_gelu/groups_CRAL-TRIO/train20260706_024741_1403982parameters_4_8_2_0.0001_16_64,exists
20260706_024846,no_post_sa_3mlp_gelu,groups_CRAL-TRIO,/home/kalinina/ltp/DL_project/test_metrics/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/test_metrics_20260706_024846_1403982parameters_4_8_3_0.0001_16_64.txt,/home/kalinina/ltp/DL_project/run/addLayers_protSA_lipSA_CA__protPosBias/groups_CRAL-TRIO/train20260706_024846_1403982parameters_4_8_3_0.0001_16_64,/home/kalinina/ltp/DL_project/run_by_label/no_post_sa_3mlp_gelu/groups_CRAL-TRIO/train20260706_024846_1403982parameters_4_8_3_0.0001_16_64,exists
