OriginalFullIdentityOfLipid;RealFullIdentityOfLipid;Lipid;InferredClassFromSMILES;IdentityInferenceStatus
"Phosphatidylglycerol (34:2);Bismonoacylglycerolphosphate (34:2) => (16:1/18:1)";Phosphatidylglycerol (34:2);PG/BMP(34:2);PG;selected_from_original
"Phosphatidylglycerol (33:1);Bismonoacylglycerolphosphate (33:1) => (17:1/16:0)";Phosphatidylglycerol (33:1);PG/BMP(33:1);PG;selected_from_original
"Bismonoacylglycerolphosphate (35:2);Phosphatidylglycerol (35:2) => (17:1/18:1)";Phosphatidylglycerol (35:2) => (17:1/18:1);PG/BMP(35:2);PG;selected_from_original
"Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2) => (17:1/16:1)";Phosphatidylglycerol (33:2) => (17:1/16:1);PG/BMP(33:2);PG;selected_from_original
"Bismonoacylglycerolphosphate (37:2);Phosphatidylglycerol (37:2) => (19:1/18:1)";Phosphatidylglycerol (37:2) => (19:1/18:1);PG/BMP(37:2);PG;selected_from_original
"Phosphatidylglycerol (34:3);Bismonoacylglycerolphosphate (34:3) => (16:1/18:2)";Phosphatidylglycerol (34:3);PG/BMP(34:3);PG;selected_from_original
"Phosphatidylglycerol (38:2);Bismonoacylglycerolphosphate (38:2) => (19:1/19:1)";Phosphatidylglycerol (38:2);PG/BMP(38:2);PG;selected_from_original
"Bismonoacylglycerolphosphate (37:1);Phosphatidylglycerol (37:1) => (19:1/18:0)";Phosphatidylglycerol (37:1) => (19:1/18:0);PG/BMP(37:1);PG;selected_from_original
"Bismonoacylglycerolphosphate (33:1);Phosphatidylglycerol (33:1) => (17:1/16:0)";Phosphatidylglycerol (33:1) => (17:1/16:0);PG/BMP(33:1);PG;selected_from_original
"Lysophosphatidylethanolamine (16:1);Phosphatidylethanolamine (O-16:1)";Lysophosphatidylethanolamine (16:1);PE(O-16:1)/LPE(16:1);LPE;selected_from_original
"Lysophosphatidylcholine (20:3);Phosphatidylcholine (O-20:3)";Lysophosphatidylcholine (20:3);PC(O-20:3)/LPC(20:3);LPC;selected_from_original
"Lysophosphatidylethanolamine (18:1);Phosphatidylethanolamine (O-18:1)";Lysophosphatidylethanolamine (18:1);PE(O-18:1)/LPE(18:1);LPE;selected_from_original
"Bismonoacylglycerolphosphate (36:2);Phosphatidylglycerol (36:2) => (18:1/18:1)";Phosphatidylglycerol (36:2) => (18:1/18:1);PG/BMP(36:2);PG;selected_from_original
"Phosphatidylglycerol (34:1);Bismonoacylglycerolphosphate (34:1) => (18:1/16:0)";Phosphatidylglycerol (34:1);PG/BMP(34:1);PG;selected_from_original
"Phosphatidylglycerol (35:1);Bismonoacylglycerolphosphate (35:1) => (19:1/16:0)";Phosphatidylglycerol (35:1);PG/BMP(35:1);PG;selected_from_original
"Phosphatidylcholine (O-36:5);Lysophosphatidylcholine (36:5)";Phosphatidylcholine (O-36:5);PC(O-36:5)/LPC(36:5);PC;selected_from_original
"Phosphatidylcholine (O-36:6);Lysophosphatidylcholine (36:6)";Phosphatidylcholine (O-36:6);PC(O-36:6)/LPC(36:6);PC;selected_from_original
"Phosphatidylcholine (O-34:4);Lysophosphatidylcholine (34:4)";Phosphatidylcholine (O-34:4);PC(O-34:4)/LPC(34:4);PC;selected_from_original
"Lysophosphatidylcholine (36:4);Phosphatidylcholine (O-36:4)";Phosphatidylcholine (O-36:4);PC(O-36:4)/LPC(36:4);PC;selected_from_original
"Lysophosphatidylcholine (34:5);Phosphatidylcholine (O-34:5)";Phosphatidylcholine (O-34:5);PC(O-34:5)/LPC(34:5);PC;selected_from_original
"Phosphatidylglycerol (34:1);Bismonoacylglycerolphosphate (34:1)";Phosphatidylglycerol (34:1);PG/BMP(34:1);PG;selected_from_original
"Phosphatidylglycerol (32:1);Bismonoacylglycerolphosphate (32:1)";Phosphatidylglycerol (32:1);PG/BMP(32:1);PG;selected_from_original
"Bismonoacylglycerolphosphate (32:2);Phosphatidylglycerol (32:2)";Phosphatidylglycerol (32:2);PG/BMP(32:2);PG;selected_from_original
"Phosphatidylglycerol (32:3);Bismonoacylglycerolphosphate (32:3) => (16:2/16:1)";Phosphatidylglycerol (32:3);PG/BMP(32:3);PG;selected_from_original
"Phosphatidylglycerol (28:1);Bismonoacylglycerolphosphate (28:1) => (16:1/12:0)";Phosphatidylglycerol (28:1);PG/BMP(28:1);PG;selected_from_original
"Bismonoacylglycerolphosphate (33:2);Phosphatidylglycerol (33:2) => (16:1/17:1)";Phosphatidylglycerol (33:2) => (16:1/17:1);PG/BMP(33:2);PG;selected_from_original
"Phosphatidylcholine (O-18:1);Lysophosphatidylcholine (18:1)";Lysophosphatidylcholine (18:1);PC(O-18:1)/LPC(18:1);LPC;selected_from_original
"Bismonoacylglycerolphosphate (38:2);Phosphatidylglycerol (38:2) => (19:1/19:1)";Phosphatidylglycerol (38:2) => (19:1/19:1);PG/BMP(38:2);PG;selected_from_original
"Bismonoacylglycerolphosphate (30:1);Phosphatidylglycerol (30:1) => (14:1/16:0)";Phosphatidylglycerol (30:1) => (14:1/16:0);PG/BMP(30:1);PG;selected_from_original
"Bismonoacylglycerolphosphate (34:3);Phosphatidylglycerol (34:3) => (16:1/18:2)";Phosphatidylglycerol (34:3) => (16:1/18:2);PG/BMP(34:3);PG;selected_from_original
"Phosphatidylglycerol (29:1);Bismonoacylglycerolphosphate (29:1) => (17:1/12:0)";Phosphatidylglycerol (29:1);PG/BMP(29:1);PG;selected_from_original
"Hexosyl ceramide (d42:1) => (d18:1/24:0);Hexosyl ceramide (DH42:1) => (DH18:1/24:0)";Hexosyl ceramide (d42:1) => (d18:1/24:0);HexCer(d*42:1);HexCer;selected_by_isomer_rules
"Hexosyl ceramide (d42:2) => (d18:1/24:1);Hexosyl ceramide (DH42:2) => (DH18:1/24:1)";Hexosyl ceramide (d42:2) => (d18:1/24:1);HexCer(d*42:2);HexCer;selected_by_isomer_rules
"Hexosyl ceramide (t42:1);Hexosyl ceramide (d42:1-OH)";Hexosyl ceramide (t42:1);HexCer(t*42:1);HexCer;selected_by_isomer_rules
"Hexosyl ceramide (t42:2);Hexosyl ceramide (d42:2-OH)";Hexosyl ceramide (t42:2);HexCer(t*42:2);HexCer;selected_by_isomer_rules
"Sulfohexosyl ceramide (d42:2);Sulfohexosyl ceramide (DH42:2)";Sulfohexosyl ceramide (d42:2);SHexCer(d*42:2);SHexCer;selected_by_isomer_rules
"Sphingomyelin (d34:1);Sphingomyelin (DH34:1)";Sphingomyelin (d34:1);SM(d*34:1);Sphingomyelin;selected_by_isomer_rules
"Sphingomyelin (d40:1);Sphingomyelin (DH40:1)";Sphingomyelin (d40:1);SM(d*40:1);Sphingomyelin;selected_by_isomer_rules
"Sphingomyelin (d40:2);Sphingomyelin (DH40:2)";Sphingomyelin (d40:2);SM(d*40:2);Sphingomyelin;selected_by_isomer_rules
"Sphingomyelin (d42:2);Sphingomyelin (DH42:2)";Sphingomyelin (d42:2);SM(d*42:2);Sphingomyelin;selected_by_isomer_rules
"Phosphatidylcholine (O-36:5); Lysophosphatidylcholine (36:5)";Phosphatidylcholine (O-36:5);PC(O-36:5)/LPC(36:5);PC;selected_from_original
"Lysophosphatidylcholine (38:5);Phosphatidylcholine (O-38:5)";Phosphatidylcholine (O-38:5);PC(O-38:5)/LPC(38:5);PC;selected_from_original
